TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TOSS_WINNER,TOSS_WINNER_MODEL,TEAM1_STRENGTH,TEAM1_CUMU_STRENGTH,TEAM2_STRENGTH,TEAM2_CUMU_STRENGTH,WIN_RATE_TEAM1,WIN_RATE_TEAM2,WINNER,WINNER_MODEL,AHP_RATIO_TEAM1,AHP_RATIO_TEAM2
MI,1,RCB,0,RCB,0,538.7319056988158,454.17829814960527,337.66765506281837,310.4879130566968,0.7959449166666667,0.4636996129032258,RCB,0,15.160852,9.982425
KKR,1,DD,0,KKR,1,399.66554420530326,363.7560169242637,267.2845238,239.077381,0.554212988764045,0.4615384615384616,DD,0,12.745465,8.076035
RR,1,KXIP,0,KXIP,0,478.2032118791325,326.260974745041,216.0023997663612,205.66411342814038,0.6277774725274726,0.422106,KXIP,0,12.695051,9.380131
CSK,1,DD,0,CSK,1,568.0494992919545,475.19940690000004,267.2845238,239.077381,0.915742612244898,0.4673913043478261,CSK,1,16.900712,8.076035
KXIP,1,SRH,0,SRH,0,216.0023997663612,205.66411342814038,384.35714289999993,283.0166667,0.42674452747252745,0.41935483870967744,KXIP,1,9.380131,9.026536
CSK,1,RR,0,RR,0,568.0494992919545,475.19940690000004,478.2032118791325,326.260974745041,0.9218569696969697,0.6209538043478261,CSK,1,16.900712,12.695051
KKR,1,RCB,0,RCB,0,399.66554420530326,363.7560169242637,337.66765506281837,310.4879130566968,0.5480550666666667,0.4683242765957447,KKR,1,12.745465,9.982425
SRH,1,DD,0,SRH,1,312.24713060624515,229.9193438270796,217.1387397208344,194.223595395828,0.33705459574468083,0.37562025806451604,SRH,1,9.026536,8.076035
MI,1,CSK,0,MI,1,538.7319056988158,454.17829814960527,568.0494992919545,475.19940690000004,0.787739298969072,0.92784904,CSK,0,15.160852,16.900712
RCB,1,RR,0,RR,0,337.66765506281837,310.4879130566968,478.2032118791325,326.260974745041,0.4633945473684211,0.61427688172043,RR,0,9.982425,12.695051
KXIP,1,KKR,0,KKR,0,216.0023997663612,205.66411342814038,399.66554420530326,363.7560169242637,0.43128221739130435,0.5546378901098901,KXIP,1,9.380131,12.745465
MI,1,DD,0,MI,1,538.7319056988158,454.17829814960527,267.2845238,239.077381,0.7797011428571428,0.4574468085106383,DD,0,15.160852,8.076035
SRH,1,CSK,0,SRH,1,312.24713060624515,229.9193438270796,568.0494992919545,475.19940690000004,0.3420581052631579,0.9337224554455446,CSK,0,9.026536,16.900712
RCB,1,KXIP,0,KXIP,0,337.66765506281837,310.4879130566968,216.0023997663612,205.66411342814038,0.45856752083333335,0.43572232258064514,KXIP,0,9.982425,9.380131
RR,1,KKR,0,RR,1,478.2032118791325,326.260974745041,399.66554420530326,363.7560169242637,0.6198968617021275,0.5486092173913044,RR,1,12.695051,12.745465
