,Unnamed: 0,Unnamed: 0.1,ID,SEASON,CITY,CITY_Corrrected,TEAM1,TEAM1_MODEL,TEAM2,TEAM1_STRENGTH,TEAM1_CUMU_STRENGTH,TEAM2_STRENGTH,TEAM2_CUMU_STRENGTH,TEAM2_MODEL,TOSS_WINNER,TOSS_DECISION,RESULT,WINNER,WIN_BY_RUNS,TOSS_WINNER_MODEL,WINNER_MODEL,TOSS_DECISION_MODEL,CITY_MODEL,WIN_RATE_TEAM1,WIN_RATE_TEAM2
66,66,66,126,2009,Cape Town,Cape Town,RR,1,KKR,0.9403294254113047,1.3136044531416318,-0.8590095781089707,-0.9722581416911101,0,KKR,field,tie,RR,0,0,1,0,2,0.7647058823529411,0.4666666666666667
67,67,67,127,2009,Durban,Durban,RCB,1,KXIP,-1.2200365741192296,-1.4335982509308605,0.6119385691663161,0.9846709589462354,0,RCB,bat,normal,KXIP,0,1,0,1,2,0.29411764705882354,0.5882352941176471
68,68,68,128,2009,Durban,Durban,SRH,1,MI,-1.3075377153229277,-1.5448679949355644,0.9278067782700512,1.404897662046747,0,SRH,bat,normal,SRH,12,1,1,1,2,0.25,0.5333333333333333
69,69,69,129,2009,Port Elizabeth,Port Elizabeth,RCB,1,DD,-1.2200365741192296,-1.4335982509308605,-0.13356608492911168,-0.007138137086358378,0,RCB,bat,normal,DD,0,1,0,1,2,0.2777777777777778,0.5625
70,70,70,130,2009,Cape Town,Cape Town,KXIP,1,RR,0.6325826106115987,0.9222620222890954,0.8962672293280006,1.3629378817105051,0,KXIP,bat,normal,KXIP,27,1,1,1,2,0.6111111111111112,0.7777777777777778
71,71,71,131,2009,Durban,Durban,CSK,1,SRH,1.905996312873215,2.5415828072932527,-1.180547287054287,-1.400027469082357,0,SRH,field,normal,SRH,0,0,0,0,2,0.5263157894736842,0.29411764705882354
72,72,72,132,2009,Port Elizabeth,Port Elizabeth,MI,1,KKR,0.9744666654686949,1.3570146522540096,-0.8590095781089707,-0.9722581416911101,0,MI,bat,normal,MI,92,1,1,1,2,0.5,0.4375
73,73,73,133,2009,Centurion,Centurion,DD,1,RR,-0.17432402548256176,-0.10383082174456904,0.8962672293280006,1.3629378817105051,0,DD,bat,normal,RR,0,1,0,1,2,0.5882352941176471,0.7368421052631579
74,74,74,134,2009,Durban,Durban,KKR,1,RCB,-0.9595172037443676,-1.1023120156759956,-1.099704590900768,-1.292475462596029,0,KKR,bat,normal,RCB,0,1,0,1,2,0.4117647058823529,0.2631578947368421
75,75,75,135,2009,Durban,Durban,KXIP,1,MI,0.6325826106115987,0.9222620222890954,0.9278067782700512,1.404897662046747,0,KXIP,bat,normal,KXIP,3,1,1,1,2,0.631578947368421,0.5294117647058824
76,76,76,136,2009,Centurion,Centurion,SRH,1,DD,-1.3075377153229277,-1.5448679949355644,-0.13356608492911168,-0.007138137086358378,0,DD,field,normal,DD,0,0,0,0,2,0.3333333333333333,0.5555555555555556
77,77,77,137,2009,Centurion,Centurion,CSK,1,RR,1.905996312873215,2.5415828072932527,0.8962672293280006,1.3629378817105051,0,RR,field,normal,CSK,38,0,1,0,2,0.5,0.75
78,78,78,138,2009,East London,East London,MI,1,KKR,0.9744666654686949,1.3570146522540096,-0.8590095781089707,-0.9722581416911101,0,MI,bat,normal,MI,9,1,1,1,2,0.5,0.3888888888888889
79,79,79,139,2009,Durban,Durban,RCB,1,KXIP,-1.2200365741192296,-1.4335982509308605,0.6119385691663161,0.9846709589462354,0,RCB,bat,normal,RCB,8,1,1,1,2,0.3,0.65
80,80,80,140,2009,Port Elizabeth,Port Elizabeth,SRH,1,RR,-1.3075377153229277,-1.5448679949355644,0.8962672293280006,1.3629378817105051,0,SRH,bat,normal,RR,0,1,0,1,2,0.3157894736842105,0.7142857142857143
81,81,81,141,2009,Johannesburg,Johannesburg,CSK,1,DD,1.905996312873215,2.5415828072932527,-0.13356608492911168,-0.007138137086358378,0,DD,field,normal,CSK,18,0,1,0,2,0.5238095238095238,0.5789473684210527
82,82,82,142,2009,Port Elizabeth,Port Elizabeth,KKR,1,KXIP,-0.9595172037443676,-1.1023120156759956,0.6119385691663161,0.9846709589462354,0,KKR,bat,normal,KXIP,0,1,0,1,2,0.3684210526315789,0.6190476190476191
83,83,83,143,2009,Johannesburg,Johannesburg,MI,1,RCB,0.9744666654686949,1.3570146522540096,-1.099704590900768,-1.292475462596029,0,MI,bat,normal,RCB,0,1,0,1,2,0.5263157894736842,0.3333333333333333
84,84,84,144,2009,East London,East London,CSK,1,SRH,1.905996312873215,2.5415828072932527,-1.180547287054287,-1.400027469082357,0,CSK,bat,normal,CSK,78,1,1,1,2,0.5454545454545454,0.3
85,85,85,145,2009,Durban,Durban,RR,1,KXIP,0.9403294254113047,1.3136044531416318,0.6119385691663161,0.9846709589462354,0,KXIP,field,normal,RR,78,0,1,0,2,0.7272727272727273,0.6363636363636364
86,86,86,146,2009,Durban,Durban,KKR,1,DD,-0.9595172037443676,-1.1023120156759956,-0.13356608492911168,-0.007138137086358378,0,KKR,bat,normal,DD,0,1,0,1,2,0.35,0.55
87,87,87,147,2009,Centurion,Centurion,SRH,1,MI,-1.3075377153229277,-1.5448679949355644,0.9278067782700512,1.404897662046747,0,SRH,bat,normal,SRH,19,1,1,1,2,0.2857142857142857,0.5
88,88,88,148,2009,Centurion,Centurion,RCB,1,RR,-1.2200365741192296,-1.4335982509308605,0.8962672293280006,1.3629378817105051,0,RR,field,normal,RR,0,0,0,0,2,0.3636363636363637,0.7391304347826086
89,89,89,149,2009,Centurion,Centurion,CSK,1,KXIP,1.905996312873215,2.5415828072932527,0.6119385691663161,0.9846709589462354,0,CSK,bat,normal,CSK,12,1,1,1,2,0.5652173913043478,0.6086956521739131
