learning_rate,max_depth,min_child_weight,gamma,colsample_bytree,Ambiguity,Real Test Accuracy,Train Accuracy
0.15,6,1,0.2,0.3,9.903999999999998,50.20054545454544,100.0
0.15,6,1,0.2,0.4,9.422,49.98690909090907,100.0
0.15,6,1,0.2,0.7,9.371090909090908,50.545636363636376,100.0
0.15,6,3,0.0,0.3,7.653636363636367,51.48636363636363,100.0
0.15,6,3,0.0,0.4,7.547090909090907,51.40636363636364,100.0
0.15,6,3,0.0,0.7,7.441818181818183,51.43218181818181,100.0
0.15,6,3,0.1,0.3,8.29818181818182,51.24163636363636,100.0
0.15,6,3,0.1,0.4,8.646909090909094,50.94945454545455,100.0
0.15,6,3,0.1,0.7,8.992000000000003,50.84436363636363,100.0
0.15,6,3,0.2,0.3,8.272363636363638,50.8410909090909,100.0
0.15,6,3,0.2,0.4,8.594000000000001,51.16472727272726,100.0
0.15,6,3,0.2,0.7,9.36909090909091,50.12036363636363,100.0
0.25,4,1,0.0,0.3,8.34909090909091,50.12327272727273,100.0
0.25,4,1,0.0,0.4,7.412545454545454,51.72836363636365,100.0
0.25,4,1,0.0,0.7,8.40618181818182,50.656,100.0
0.25,4,1,0.1,0.3,8.806000000000001,50.01400000000002,100.0
0.25,4,1,0.1,0.4,8.43327272727273,50.52163636363635,100.0
0.25,4,1,0.1,0.7,9.745454545454546,49.74418181818183,100.0
0.25,4,1,0.2,0.3,9.529818181818184,50.1741818181818,100.0
0.25,4,1,0.2,0.4,8.941818181818181,50.35854545454546,100.0
0.25,4,1,0.2,0.7,10.201272727272729,49.744909090909104,100.0
0.25,4,3,0.0,0.3,7.815090909090909,50.84490909090908,100.0
0.25,4,3,0.0,0.4,8.754363636363639,50.307090909090896,100.0
0.25,4,3,0.0,0.7,8.003818181818183,50.95181818181818,100.0
0.25,4,3,0.1,0.3,8.514727272727274,50.17072727272727,100.0
0.25,4,3,0.1,0.4,8.536181818181818,50.362909090909085,100.0
0.25,4,3,0.1,0.7,8.754000000000003,50.04072727272729,100.0
0.25,4,3,0.2,0.3,9.21,49.79727272727272,100.0
0.25,4,3,0.2,0.4,9.61418181818182,50.090363636363634,100.0
0.25,4,3,0.2,0.7,8.590727272727275,50.0681818181818,100.0
0.25,5,1,0.0,0.3,7.415636363636365,51.48599999999998,100.0
0.25,5,1,0.0,0.4,8.485818181818184,51.02963636363636,100.0
0.25,5,1,0.0,0.7,8.11109090909091,51.45763636363635,100.0
0.25,5,1,0.1,0.3,9.504181818181818,50.38672727272728,100.0
0.25,5,1,0.1,0.4,9.935090909090908,49.95781818181817,100.0
0.25,5,1,0.1,0.7,9.504909090909088,50.89527272727273,100.0
0.25,5,1,0.2,0.3,9.826727272727274,50.59872727272725,100.0
