,ID,SEASON,CITY,CITY_Corrrected,TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TOSS_WINNER,TEAM1_STRENGTH,TEAM1_CUMU_STRENGTH,TEAM2_STRENGTH,TEAM2_CUMU_STRENGTH,TOSS_DECISION,RESULT,WINNER,WIN_BY_RUNS,TOSS_WINNER_MODEL,WINNER_MODEL,TOSS_DECISION_MODEL,CITY_MODEL,WIN_RATE_TEAM1,WIN_RATE_TEAM2
599,606,2016,Bangalore,RCB,RCB,1,KKR,0,KKR,249.259375,261.43928569999997,388.7692308,371.89010989999997,field,normal,KKR,0,0,0,0,1,0.11478599221789886,0.11673151750972766
600,607,2016,Rajkot,GL,GL,1,DD,0,DD,,,247.3797619,273.0392857,field,normal,DD,0,0,0,0,1,0.0,0.0933852140077821
601,608,2016,Kolkata,KKR,KKR,1,KXIP,0,KXIP,388.7692308,371.89010989999997,410.0,325.0255102,field,normal,KKR,7,0,1,0,1,0.11673151750972766,0.11478599221789886
602,609,2016,Delhi,DD,DD,1,RPS,0,RPS,247.3797619,273.0392857,,,field,normal,RPS,0,0,0,0,1,0.0933852140077821,0.02334630350194553
603,610,2016,Hyderabad,SRH,GL,1,SRH,0,SRH,,,300.11071430000004,269.29744900000003,field,normal,SRH,0,0,0,0,0,0.0,0.10116731517509728
604,611,2016,Bangalore,RCB,RPS,1,RCB,0,RCB,,,249.259375,261.43928569999997,field,normal,RCB,0,0,0,0,0,0.02334630350194553,0.11478599221789886
605,612,2016,Chandigarh,KXIP,KXIP,1,DD,0,DD,410.0,325.0255102,247.3797619,273.0392857,field,normal,KXIP,9,0,1,0,1,0.11478599221789886,0.0933852140077821
606,613,2016,Visakhapatnam,Visakhapatnam,SRH,1,MI,0,MI,300.11071430000004,269.29744900000003,309.625,337.4324405,field,normal,SRH,85,0,1,0,2,0.10116731517509728,0.14202334630350194
607,614,2016,Kolkata,KKR,KKR,1,GL,0,GL,388.7692308,371.89010989999997,,,field,normal,GL,0,0,0,0,1,0.11673151750972766,0.0
608,615,2016,Chandigarh,KXIP,RCB,1,KXIP,0,KXIP,249.259375,261.43928569999997,410.0,325.0255102,field,normal,RCB,1,0,1,0,0,0.11478599221789886,0.11478599221789886
609,616,2016,Visakhapatnam,Visakhapatnam,SRH,1,RPS,0,SRH,300.11071430000004,269.29744900000003,,,bat,normal,SRH,4,1,1,1,2,0.10116731517509728,0.02334630350194553
610,617,2016,Bangalore,RCB,RCB,1,MI,0,MI,249.259375,261.43928569999997,309.625,337.4324405,field,normal,MI,0,0,0,0,1,0.11478599221789886,0.14202334630350194
611,618,2016,Hyderabad,SRH,SRH,1,DD,0,DD,300.11071430000004,269.29744900000003,247.3797619,273.0392857,field,normal,DD,0,0,0,0,1,0.10116731517509728,0.0933852140077821
612,619,2016,Visakhapatnam,Visakhapatnam,MI,1,KXIP,0,MI,309.625,337.4324405,410.0,325.0255102,bat,normal,KXIP,0,1,0,1,2,0.14202334630350194,0.11478599221789886
613,620,2016,Bangalore,RCB,RCB,1,GL,0,GL,249.259375,261.43928569999997,,,field,normal,RCB,144,0,1,0,1,0.11478599221789886,0.0
614,621,2016,Kolkata,KKR,RPS,1,KKR,0,RPS,,,388.7692308,371.89010989999997,bat,normal,KKR,0,1,0,1,0,0.02334630350194553,0.11673151750972766
615,622,2016,Chandigarh,KXIP,KXIP,1,SRH,0,KXIP,410.0,325.0255102,300.11071430000004,269.29744900000003,bat,normal,SRH,0,1,0,1,1,0.11478599221789886,0.10116731517509728
616,623,2016,Visakhapatnam,Visakhapatnam,MI,1,DD,0,DD,309.625,337.4324405,247.3797619,273.0392857,field,normal,MI,80,0,1,0,2,0.14202334630350194,0.0933852140077821
617,624,2016,Kolkata,KKR,KKR,1,RCB,0,RCB,388.7692308,371.89010989999997,249.259375,261.43928569999997,field,normal,RCB,0,0,0,0,1,0.11673151750972766,0.11478599221789886
618,625,2016,Visakhapatnam,Visakhapatnam,DD,1,RPS,0,RPS,247.3797619,273.0392857,,,field,normal,RPS,19,0,0,0,2,0.0933852140077821,0.02334630350194553
619,626,2016,Bangalore,RCB,RCB,1,KXIP,0,KXIP,249.259375,261.43928569999997,410.0,325.0255102,field,normal,RCB,82,0,1,0,1,0.11478599221789886,0.11478599221789886
620,627,2016,Kanpur,Kanpur,KKR,1,GL,0,GL,388.7692308,371.89010989999997,,,field,normal,GL,0,0,0,0,2,0.11673151750972766,0.0
621,628,2016,Raipur,Raipur,SRH,1,DD,0,DD,300.11071430000004,269.29744900000003,247.3797619,273.0392857,field,normal,DD,0,0,0,0,2,0.10116731517509728,0.0933852140077821
622,629,2016,Visakhapatnam,Visakhapatnam,KXIP,1,RPS,0,KXIP,410.0,325.0255102,,,bat,normal,RPS,0,1,0,1,2,0.11478599221789886,0.02334630350194553
623,630,2016,Kanpur,Kanpur,MI,1,GL,0,GL,309.625,337.4324405,,,field,normal,GL,0,0,0,0,2,0.14202334630350194,0.0
624,631,2016,Kolkata,KKR,KKR,1,SRH,0,SRH,388.7692308,371.89010989999997,300.11071430000004,269.29744900000003,field,normal,KKR,22,0,1,0,1,0.11673151750972766,0.10116731517509728
