ID,SEASON,CITY,CITY_Corrrected,TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TOSS_WINNER,TOSS_DECISION,RESULT,WINNER,WIN_BY_RUNS,TOSS_WINNER_MODEL,WINNER_MODEL,TOSS_DECISION_MODEL,CITY_MODEL
156,2009,Centurion,Centurion,KKR,1,RCB,0,RCB,field,normal,RCB,0,0,0,0,2
157,2009,Centurion,Centurion,KXIP,1,MI,0,KXIP,bat,normal,MI,0,1,0,1,2
158,2009,Durban,Durban,DD,1,SRH,0,SRH,field,normal,DD,12,0,1,0,2
159,2009,Durban,Durban,CSK,1,RCB,0,CSK,bat,normal,RCB,0,1,0,1,2
160,2009,Durban,Durban,RR,1,MI,0,RR,bat,normal,RR,2,1,1,1,2
161,2009,Bloemfontein,Bloemfontein,DD,1,KXIP,0,KXIP,field,normal,KXIP,0,0,0,0,2
162,2009,Port Elizabeth,Port Elizabeth,MI,1,CSK,0,MI,bat,normal,CSK,0,1,0,1,2
163,2009,Johannesburg,Johannesburg,KKR,1,SRH,0,SRH,field,normal,SRH,0,0,0,0,2
164,2009,Johannesburg,Johannesburg,KXIP,1,SRH,0,SRH,field,normal,KXIP,1,0,1,0,2
165,2009,Bloemfontein,Bloemfontein,DD,1,RR,0,DD,bat,normal,DD,14,1,1,1,2
166,2009,Centurion,Centurion,CSK,1,KKR,0,CSK,bat,normal,KKR,0,1,0,1,2
167,2009,Johannesburg,Johannesburg,DD,1,RCB,0,DD,bat,normal,RCB,0,1,0,1,2
168,2009,Durban,Durban,RR,1,KKR,0,KKR,field,normal,KKR,0,0,0,0,2
169,2009,Durban,Durban,CSK,1,KXIP,0,CSK,bat,normal,CSK,24,1,1,1,2
170,2009,Centurion,Centurion,MI,1,DD,0,DD,field,normal,DD,0,0,0,0,2
171,2009,Centurion,Centurion,RCB,1,SRH,0,RCB,bat,normal,RCB,12,1,1,1,2
172,2009,Centurion,Centurion,DD,1,SRH,0,SRH,field,normal,SRH,0,0,0,0,2
173,2009,Johannesburg,Johannesburg,CSK,1,RCB,0,RCB,field,normal,RCB,0,0,0,0,2
174,2009,Johannesburg,Johannesburg,SRH,1,RCB,0,RCB,field,normal,SRH,6,0,1,0,2
175,2010,Mumbai,MI,KKR,1,SRH,0,SRH,field,normal,KKR,11,0,1,0,2
176,2010,Mumbai,MI,MI,1,RR,0,MI,bat,normal,MI,4,1,1,1,1
177,2010,Chandigarh,KXIP,KXIP,1,DD,0,DD,field,normal,DD,0,0,0,0,1
178,2010,Kolkata,KKR,RCB,1,KKR,0,KKR,field,normal,KKR,0,0,0,0,0
179,2010,Chennai,CSK,SRH,1,CSK,0,SRH,bat,normal,SRH,31,1,1,1,0
180,2010,Ahmedabad,Ahmedabad,RR,1,DD,0,DD,field,normal,DD,0,0,0,0,2
181,2010,Bangalore,RCB,KXIP,1,RCB,0,KXIP,bat,normal,RCB,0,1,0,1,0
182,2010,Kolkata,KKR,CSK,1,KKR,0,CSK,bat,normal,CSK,55,1,1,1,0
183,2010,Delhi,DD,MI,1,DD,0,DD,field,normal,MI,98,0,1,0,0
184,2010,Bangalore,RCB,RR,1,RCB,0,RCB,field,normal,RCB,0,0,0,0,0
185,2010,Delhi,DD,DD,1,CSK,0,DD,bat,normal,CSK,0,1,0,1,1
186,2010,Cuttack,Cuttack,SRH,1,KXIP,0,KXIP,field,normal,SRH,6,0,1,0,2
187,2010,Ahmedabad,Ahmedabad,RR,1,KKR,0,RR,bat,normal,RR,34,1,1,1,2
188,2010,Mumbai,MI,MI,1,RCB,0,MI,bat,normal,RCB,0,1,0,1,1
189,2010,Cuttack,Cuttack,SRH,1,DD,0,SRH,bat,normal,SRH,10,1,1,1,2
190,2010,Chennai,CSK,KXIP,1,CSK,0,CSK,field,tie,KXIP,0,0,1,0,0
