,Unnamed: 0,ID,SEASON,CITY,CITY_Corrrected,TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TOSS_WINNER,TEAM1_STRENGTH,TEAM1_CUMU_STRENGTH,TEAM2_STRENGTH,TEAM2_CUMU_STRENGTH,TOSS_DECISION,RESULT,WINNER,WIN_BY_RUNS,TOSS_WINNER_MODEL,WINNER_MODEL,TOSS_DECISION_MODEL,CITY_MODEL,WIN_RATE_TEAM1,WIN_RATE_TEAM2
66,66,126,2009,Cape Town,Cape Town,RR,1,KKR,0,KKR,251.3936012,251.3936012,224.5290543,224.5290543,field,tie,RR,0,0,1,0,2,0.208955223880597,0.1044776119402985
67,67,127,2009,Durban,Durban,RCB,1,KXIP,0,RCB,281.7181509,281.7181509,233.5653872,233.5653872,bat,normal,KXIP,0,1,0,1,2,0.07352941176470588,0.16176470588235295
68,68,128,2009,Durban,Durban,SRH,1,MI,0,SRH,251.8548469,251.8548469,336.7994228,336.7994228,bat,normal,SRH,12,1,1,1,2,0.07246376811594203,0.11594202898550725
69,69,129,2009,Port Elizabeth,Port Elizabeth,RCB,1,DD,0,RCB,281.7181509,281.7181509,305.1106061000001,305.1106061000001,bat,normal,DD,0,1,0,1,2,0.07142857142857142,0.14285714285714285
70,70,130,2009,Cape Town,Cape Town,KXIP,1,RR,0,KXIP,233.5653872,233.5653872,251.3936012,251.3936012,bat,normal,KXIP,27,1,1,1,2,0.16901408450704225,0.19718309859154928
71,71,131,2009,Durban,Durban,CSK,1,SRH,0,SRH,260.9975198,260.9975198,251.8548469,251.8548469,field,normal,SRH,0,0,0,0,2,0.1388888888888889,0.08333333333333333
72,72,132,2009,Port Elizabeth,Port Elizabeth,MI,1,KKR,0,MI,336.7994228,336.7994228,224.5290543,224.5290543,bat,normal,MI,92,1,1,1,2,0.1232876712328767,0.0958904109589041
73,73,133,2009,Centurion,Centurion,DD,1,RR,0,DD,305.1106061000001,305.1106061000001,251.3936012,251.3936012,bat,normal,RR,0,1,0,1,2,0.13513513513513514,0.20270270270270271
74,74,134,2009,Durban,Durban,KKR,1,RCB,0,KKR,224.5290543,224.5290543,281.7181509,281.7181509,bat,normal,RCB,0,1,0,1,2,0.09333333333333334,0.08
75,75,135,2009,Durban,Durban,KXIP,1,MI,0,KXIP,233.5653872,233.5653872,336.7994228,336.7994228,bat,normal,KXIP,3,1,1,1,2,0.17105263157894737,0.11842105263157894
