Team,Year,Runs per Over,Runs per Wicket,Batting Index,Runs conceded per Over,Runs conceded per Wicket,Bowling Index,Batting Wicket Rate,Bowling Wicket Rate,Runs per Wicket_6 Batsmen,Runs per Wicket_4 Batsmen,Runs per Wicket_2 Batsmen,Runs per ball_6 Batsmen,Runs per ball_4 Batsmen,Runs per ball_2 Batsmen,Runs concede per Wicket_5 Bowler,Runs concede per Wicket_3 Bowler,Runs concede per Over_5 Bowler,Runs concede per Over_3 Bowler,Balls bowled per Wicket_5 Bowler,Balls bowled per Wicket_3 Bowler,Team Strength,Cumulative Team Strength
KKR,2009,7.199200532978015,20.46590909090909,147.33818363515232,7.7671875,27.16393442622951,210.98737192622954,0.05862758161225849,0.04765625,28.0,32.74193548387097,43.375,1.3037037037037038,1.3063063063063063,1.6445497630331753,38.166666666666664,40.4,7.905638665132336,7.634645669291339,173.8,190.5,41.3776037359657,41.37760373596571
KKR,2010,6.7734056987788325,23.11111111111111,156.54093170511078,7.72635814889336,39.183673469387756,302.7470948137807,0.048846675712347354,0.03286384976525822,29.36111111111111,33.388888888888886,36.416666666666664,1.2449941107184923,1.2869379014989293,1.245014245014245,43.03846153846154,40.125,7.5016759776536315,6.817699115044248,206.53846153846155,211.875,35.35088629607143,35.12085822107143
KKR,2011,7.23217550274223,27.859154929577464,201.48229780879058,8.05981308411215,31.705882352941178,255.54348543155584,0.043266301035953685,0.04236760124610592,30.98148148148148,33.785714285714285,37.708333333333336,1.2849462365591398,1.2923497267759563,1.3021582733812949,38.689655172413794,37.16,8.169902912621358,8.161054172767203,170.48275862068965,163.92,33.16704805425,31.244114880694443
KKR,2012,7.042513863216266,26.830985915492956,188.95759027361953,7.110981308411215,26.69736842105263,189.84448782587307,0.04374614910659273,0.04439252336448598,34.69090909090909,37.56666666666667,51.77777777777778,1.2160611854684513,1.230349344978166,1.170854271356784,28.115384615384617,32.70967741935484,6.984076433121019,7.330120481927711,144.92307692307693,160.6451612903226,31.867915212720586,29.62094204139706
KKR,2013,7.226993865030675,25.06382978723404,181.1361441065135,7.008072653884964,24.36842105263158,170.77566519730203,0.04805725971370143,0.0479313824419778,30.37037037037037,34.67857142857143,35.111111111111114,1.248097412480974,1.4195906432748537,1.4663573085846868,25.758064516129032,21.46153846153846,7.0768094534711965,6.7364185110663986,131.03225806451613,114.6923076923077,33.3287233928125,31.6030881054375
KKR,2014,6.847058823529411,20.92156862745098,143.25121107266435,7.282515991471215,25.875,188.4351012793177,0.05454545454545454,0.046908315565031986,26.615384615384617,27.2,21.166666666666668,1.269724770642202,1.446808510638298,1.7397260273972603,24.579545454545453,22.517857142857142,7.44151376146789,6.9476584022038566,118.9090909090909,116.67857142857143,37.62513315335938,33.46832408104167
KKR,2015,7.81978021978022,27.264367816091955,213.20136415308832,7.516587677725118,28.662650602409638,215.44532632901272,0.0478021978021978,0.04370721432332807,33.43396226415094,36.638888888888886,38.666666666666664,1.3779160186625194,1.4446878422782037,1.4409937888198758,25.768115942028984,25.181818181818183,7.237449118046133,6.839506172839506,128.17391304347825,132.54545454545453,41.052508109589745,40.085895029086075
KKR,2016,8.198731501057082,24.858974358974358,203.81205616089335,8.163538873994638,29.0,236.74262734584448,0.05496828752642706,0.04691689008042895,29.705882352941178,35.55172413793103,35.5,1.400184842883549,1.492040520984081,1.9398907103825136,27.21153846153846,27.857142857142858,8.01699716713881,8.369098712446352,122.1923076923077,119.82857142857142,34.48889515650001,32.48286772942858
KKR,2017,7.8323133414932675,28.06578947368421,219.82005733427815,8.058962264150944,28.123456790123456,226.64587700908456,0.046511627906976744,0.047759433962264154,34.59183673469388,36.68292682926829,47.888888888888886,1.3252541047693511,1.3297966401414678,1.30804248861912,29.2,30.37037037037037,7.883014623172103,7.651632970451011,133.35,142.88888888888889,30.472961972187502,29.992671520191465
KKR,2018,8.254821741671538,26.75,220.81648158971365,8.237569060773481,27.307692307692307,224.94900127496814,0.05143191116306254,0.05027624309392265,30.58490566037736,30.19047619047619,35.94736842105263,1.5177902621722847,1.6111817026683608,1.7160804020100502,29.81081081081081,33.25,7.713286713286713,7.758333333333334,139.13513513513513,154.28571428571428,31.33025724392857,28.828388998333338
