,Unnamed: 0,ID,SEASON,CITY,CITY_Corrrected,TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TEAM1_STRENGTH,TEAM1_CUMU_STRENGTH,TEAM2_STRENGTH,TEAM2_CUMU_STRENGTH,TOSS_WINNER,TOSS_DECISION,RESULT,WINNER,WIN_BY_RUNS,TOSS_WINNER_MODEL,WINNER_MODEL,TOSS_DECISION_MODEL,CITY_MODEL,WIN_RATE_TEAM1,WIN_RATE_TEAM2
66,66,126,2009,Cape Town,Cape Town,RR,1,KKR,0,266.3524531,324.6706349,223.2428571,222.2071429,KKR,field,tie,RR,0,0,1,0,2,0.7647058823529411,0.4666666666666667
67,67,127,2009,Durban,Durban,RCB,1,KXIP,0,262.3125,238.3125,282.3730159,325.61904760000004,RCB,bat,normal,KXIP,0,1,0,1,2,0.29411764705882354,0.5882352941176471
68,68,128,2009,Durban,Durban,SRH,1,MI,0,323.05,283.8,299.04375,300.35625,SRH,bat,normal,SRH,12,1,1,1,2,0.25,0.5333333333333333
69,69,129,2009,Port Elizabeth,Port Elizabeth,RCB,1,DD,0,262.3125,238.3125,345.6142857,313.43571430000003,RCB,bat,normal,DD,0,1,0,1,2,0.2777777777777778,0.5625
70,70,130,2009,Cape Town,Cape Town,KXIP,1,RR,0,282.3730159,325.61904760000004,266.3524531,324.6706349,KXIP,bat,normal,KXIP,27,1,1,1,2,0.6111111111111112,0.7777777777777778
71,71,131,2009,Durban,Durban,CSK,1,SRH,0,299.735119,288.84375,323.05,283.8,SRH,field,normal,SRH,0,0,0,0,2,0.5263157894736842,0.29411764705882354
72,72,132,2009,Port Elizabeth,Port Elizabeth,MI,1,KKR,0,299.04375,300.35625,223.2428571,222.2071429,MI,bat,normal,MI,92,1,1,1,2,0.5,0.4375
73,73,133,2009,Centurion,Centurion,DD,1,RR,0,345.6142857,313.43571430000003,266.3524531,324.6706349,DD,bat,normal,RR,0,1,0,1,2,0.5882352941176471,0.7368421052631579
74,74,134,2009,Durban,Durban,KKR,1,RCB,0,223.2428571,222.2071429,262.3125,238.3125,KKR,bat,normal,RCB,0,1,0,1,2,0.4117647058823529,0.2631578947368421
75,75,135,2009,Durban,Durban,KXIP,1,MI,0,282.3730159,325.61904760000004,299.04375,300.35625,KXIP,bat,normal,KXIP,3,1,1,1,2,0.631578947368421,0.5294117647058824
76,76,136,2009,Centurion,Centurion,SRH,1,DD,0,323.05,283.8,345.6142857,313.43571430000003,DD,field,normal,DD,0,0,0,0,2,0.3333333333333333,0.5555555555555556
77,77,137,2009,Centurion,Centurion,CSK,1,RR,0,299.735119,288.84375,266.3524531,324.6706349,RR,field,normal,CSK,38,0,1,0,2,0.5,0.75
78,78,138,2009,East London,East London,MI,1,KKR,0,299.04375,300.35625,223.2428571,222.2071429,MI,bat,normal,MI,9,1,1,1,2,0.5,0.3888888888888889
79,79,139,2009,Durban,Durban,RCB,1,KXIP,0,262.3125,238.3125,282.3730159,325.61904760000004,RCB,bat,normal,RCB,8,1,1,1,2,0.3,0.65
80,80,140,2009,Port Elizabeth,Port Elizabeth,SRH,1,RR,0,323.05,283.8,266.3524531,324.6706349,SRH,bat,normal,RR,0,1,0,1,2,0.3157894736842105,0.7142857142857143
81,81,141,2009,Johannesburg,Johannesburg,CSK,1,DD,0,299.735119,288.84375,345.6142857,313.43571430000003,DD,field,normal,CSK,18,0,1,0,2,0.5238095238095238,0.5789473684210527
82,82,142,2009,Port Elizabeth,Port Elizabeth,KKR,1,KXIP,0,223.2428571,222.2071429,282.3730159,325.61904760000004,KKR,bat,normal,KXIP,0,1,0,1,2,0.3684210526315789,0.6190476190476191
83,83,143,2009,Johannesburg,Johannesburg,MI,1,RCB,0,299.04375,300.35625,262.3125,238.3125,MI,bat,normal,RCB,0,1,0,1,2,0.5263157894736842,0.3333333333333333
84,84,144,2009,East London,East London,CSK,1,SRH,0,299.735119,288.84375,323.05,283.8,CSK,bat,normal,CSK,78,1,1,1,2,0.5454545454545454,0.3
85,85,145,2009,Durban,Durban,RR,1,KXIP,0,266.3524531,324.6706349,282.3730159,325.61904760000004,KXIP,field,normal,RR,78,0,1,0,2,0.7272727272727273,0.6363636363636364
86,86,146,2009,Durban,Durban,KKR,1,DD,0,223.2428571,222.2071429,345.6142857,313.43571430000003,KKR,bat,normal,DD,0,1,0,1,2,0.35,0.55
87,87,147,2009,Centurion,Centurion,SRH,1,MI,0,323.05,283.8,299.04375,300.35625,SRH,bat,normal,SRH,19,1,1,1,2,0.2857142857142857,0.5
88,88,148,2009,Centurion,Centurion,RCB,1,RR,0,262.3125,238.3125,266.3524531,324.6706349,RR,field,normal,RR,0,0,0,0,2,0.3636363636363637,0.7391304347826086
89,89,149,2009,Centurion,Centurion,CSK,1,KXIP,0,299.735119,288.84375,282.3730159,325.61904760000004,CSK,bat,normal,CSK,12,1,1,1,2,0.5652173913043478,0.6086956521739131
90,90,150,2009,East London,East London,MI,1,DD,0,299.04375,300.35625,345.6142857,313.43571430000003,MI,bat,normal,DD,0,1,0,1,2,0.4761904761904762,0.5714285714285714
91,91,151,2009,Kimberley,Kimberley,SRH,1,KXIP,0,323.05,283.8,282.3730159,325.61904760000004,KXIP,field,normal,KXIP,0,0,0,0,2,0.3181818181818182,0.5833333333333334
92,92,152,2009,Kimberley,Kimberley,RR,1,CSK,0,266.3524531,324.6706349,299.735119,288.84375,RR,bat,normal,CSK,0,1,0,1,2,0.75,0.5833333333333334
93,93,153,2009,Port Elizabeth,Port Elizabeth,MI,1,RCB,0,299.04375,300.35625,262.3125,238.3125,MI,bat,normal,MI,16,1,1,1,2,0.4545454545454545,0.3478260869565217
94,94,154,2009,Johannesburg,Johannesburg,KKR,1,DD,0,223.2428571,222.2071429,345.6142857,313.43571430000003,DD,field,normal,DD,0,0,0,0,2,0.3333333333333333,0.5909090909090909
95,95,155,2009,Kimberley,Kimberley,SRH,1,RR,0,323.05,283.8,266.3524531,324.6706349,SRH,bat,normal,SRH,53,1,1,1,2,0.3043478260869565,0.72
96,96,156,2009,Centurion,Centurion,KKR,1,RCB,0,223.2428571,222.2071429,262.3125,238.3125,RCB,field,normal,RCB,0,0,0,0,2,0.3181818181818182,0.3333333333333333
97,97,157,2009,Centurion,Centurion,KXIP,1,MI,0,282.3730159,325.61904760000004,299.04375,300.35625,KXIP,bat,normal,MI,0,1,0,1,2,0.6,0.4782608695652174
98,98,158,2009,Durban,Durban,DD,1,SRH,0,345.6142857,313.43571430000003,323.05,283.8,SRH,field,normal,DD,12,0,1,0,2,0.6086956521739131,0.3333333333333333
99,99,159,2009,Durban,Durban,CSK,1,RCB,0,299.735119,288.84375,262.3125,238.3125,CSK,bat,normal,RCB,0,1,0,1,2,0.6,0.36
100,100,160,2009,Durban,Durban,RR,1,MI,0,266.3524531,324.6706349,299.04375,300.35625,RR,bat,normal,RR,2,1,1,1,2,0.6923076923076923,0.5
101,101,161,2009,Bloemfontein,Bloemfontein,DD,1,KXIP,0,345.6142857,313.43571430000003,282.3730159,325.61904760000004,KXIP,field,normal,KXIP,0,0,0,0,2,0.625,0.5769230769230769
102,102,162,2009,Port Elizabeth,Port Elizabeth,MI,1,CSK,0,299.04375,300.35625,299.735119,288.84375,MI,bat,normal,CSK,0,1,0,1,2,0.48,0.5769230769230769
103,103,163,2009,Johannesburg,Johannesburg,KKR,1,SRH,0,223.2428571,222.2071429,323.05,283.8,SRH,field,normal,SRH,0,0,0,0,2,0.3043478260869565,0.32
104,104,164,2009,Johannesburg,Johannesburg,KXIP,1,SRH,0,282.3730159,325.61904760000004,323.05,283.8,SRH,field,normal,KXIP,1,0,1,0,2,0.5925925925925926,0.3461538461538461
105,105,165,2009,Bloemfontein,Bloemfontein,DD,1,RR,0,345.6142857,313.43571430000003,266.3524531,324.6706349,DD,bat,normal,DD,14,1,1,1,2,0.6,0.7037037037037037
106,106,166,2009,Centurion,Centurion,CSK,1,KKR,0,299.735119,288.84375,223.2428571,222.2071429,CSK,bat,normal,KKR,0,1,0,1,2,0.5925925925925926,0.2916666666666667
107,107,167,2009,Johannesburg,Johannesburg,DD,1,RCB,0,345.6142857,313.43571430000003,262.3125,238.3125,DD,bat,normal,RCB,0,1,0,1,2,0.6153846153846154,0.38461538461538464
108,108,168,2009,Durban,Durban,RR,1,KKR,0,266.3524531,324.6706349,223.2428571,222.2071429,KKR,field,normal,KKR,0,0,0,0,2,0.6785714285714286,0.32
109,109,169,2009,Durban,Durban,CSK,1,KXIP,0,299.735119,288.84375,282.3730159,325.61904760000004,CSK,bat,normal,CSK,24,1,1,1,2,0.5714285714285714,0.6071428571428571
110,110,170,2009,Centurion,Centurion,MI,1,DD,0,299.04375,300.35625,345.6142857,313.43571430000003,DD,field,normal,DD,0,0,0,0,2,0.4615384615384616,0.5925925925925926
111,111,171,2009,Centurion,Centurion,RCB,1,SRH,0,262.3125,238.3125,323.05,283.8,RCB,bat,normal,RCB,12,1,1,1,2,0.4074074074074074,0.3333333333333333
112,112,172,2009,Centurion,Centurion,DD,1,SRH,0,345.6142857,313.43571430000003,323.05,283.8,SRH,field,normal,SRH,0,0,0,0,2,0.6071428571428571,0.32142857142857145
113,113,173,2009,Johannesburg,Johannesburg,CSK,1,RCB,0,299.735119,288.84375,262.3125,238.3125,RCB,field,normal,RCB,0,0,0,0,2,0.5862068965517241,0.42857142857142855
114,114,174,2009,Johannesburg,Johannesburg,SRH,1,RCB,0,323.05,283.8,262.3125,238.3125,RCB,field,normal,SRH,6,0,1,0,2,0.3448275862068966,0.4482758620689655
115,115,175,2010,Mumbai,MI,KKR,1,SRH,0,244.145,238.225,260.7,252.5904762,SRH,field,normal,KKR,11,0,1,0,2,0.3461538461538461,0.36666666666666653
116,116,176,2010,Mumbai,MI,MI,1,RR,0,348.375,314.0729167,242.011655,260.3974359,MI,bat,normal,MI,4,1,1,1,1,0.4444444444444444,0.6551724137931034
117,117,177,2010,Chandigarh,KXIP,KXIP,1,DD,0,214.66666669999998,259.0714286,264.0255102,252.0612245,DD,field,normal,DD,0,0,0,0,1,0.5862068965517241,0.5862068965517241
118,118,178,2010,Kolkata,KKR,RCB,1,KKR,0,192.3583333,183.2645833,244.145,238.225,KKR,field,normal,KKR,0,0,0,0,0,0.43333333333333335,0.3703703703703704
119,119,179,2010,Chennai,CSK,SRH,1,CSK,0,260.7,252.5904762,285.125,267.4791667,SRH,bat,normal,SRH,31,1,1,1,0,0.3548387096774194,0.5666666666666667
120,120,180,2010,Ahmedabad,Ahmedabad,RR,1,DD,0,242.011655,260.3974359,264.0255102,252.0612245,DD,field,normal,DD,0,0,0,0,2,0.6333333333333333,0.6
121,121,181,2010,Bangalore,RCB,KXIP,1,RCB,0,214.66666669999998,259.0714286,192.3583333,183.2645833,KXIP,bat,normal,RCB,0,1,0,1,0,0.5666666666666667,0.41935483870967744
122,122,182,2010,Kolkata,KKR,CSK,1,KKR,0,285.125,267.4791667,244.145,238.225,CSK,bat,normal,CSK,55,1,1,1,0,0.5483870967741935,0.3928571428571429
123,123,183,2010,Delhi,DD,MI,1,DD,0,348.375,314.0729167,264.0255102,252.0612245,DD,field,normal,MI,98,0,1,0,0,0.4642857142857143,0.6129032258064516
124,124,184,2010,Bangalore,RCB,RR,1,RCB,0,242.011655,260.3974359,192.3583333,183.2645833,RCB,field,normal,RCB,0,0,0,0,0,0.6129032258064516,0.4375
125,125,185,2010,Delhi,DD,DD,1,CSK,0,264.0255102,252.0612245,285.125,267.4791667,DD,bat,normal,CSK,0,1,0,1,1,0.59375,0.5625
126,126,186,2010,Cuttack,Cuttack,SRH,1,KXIP,0,260.7,252.5904762,214.66666669999998,259.0714286,KXIP,field,normal,SRH,6,0,1,0,2,0.375,0.5483870967741935
127,127,187,2010,Ahmedabad,Ahmedabad,RR,1,KKR,0,242.011655,260.3974359,244.145,238.225,RR,bat,normal,RR,34,1,1,1,2,0.59375,0.3793103448275862
128,128,188,2010,Mumbai,MI,MI,1,RCB,0,348.375,314.0729167,192.3583333,183.2645833,MI,bat,normal,RCB,0,1,0,1,1,0.4827586206896552,0.4545454545454545
129,129,189,2010,Cuttack,Cuttack,SRH,1,DD,0,260.7,252.5904762,264.0255102,252.0612245,SRH,bat,normal,SRH,10,1,1,1,2,0.3939393939393939,0.5757575757575758
130,130,190,2010,Chennai,CSK,KXIP,1,CSK,0,214.66666669999998,259.0714286,285.125,267.4791667,CSK,field,tie,KXIP,0,0,1,0,0,0.53125,0.5757575757575758
131,131,191,2010,Mumbai,MI,KKR,1,MI,0,244.145,238.225,348.375,314.0729167,KKR,bat,normal,MI,0,1,0,1,0,0.36666666666666653,0.4666666666666667
132,132,192,2010,Bangalore,RCB,RCB,1,CSK,0,192.3583333,183.2645833,285.125,267.4791667,CSK,field,normal,RCB,36,0,1,0,1,0.4705882352941176,0.5588235294117647
133,133,193,2010,Chandigarh,KXIP,RR,1,KXIP,0,242.011655,260.3974359,214.66666669999998,259.0714286,KXIP,field,normal,RR,31,0,1,0,0,0.6060606060606061,0.5454545454545454
134,134,194,2010,Mumbai,MI,CSK,1,MI,0,285.125,267.4791667,348.375,314.0729167,MI,field,normal,MI,0,0,0,0,0,0.5428571428571428,0.4838709677419355
135,135,195,2010,Ahmedabad,Ahmedabad,SRH,1,RR,0,260.7,252.5904762,242.011655,260.3974359,SRH,bat,normal,RR,0,1,0,1,2,0.4117647058823529,0.6176470588235294
