Player,Batting Inns,Batting SR,100's,50's,Batting Average,Bowling Inns,Overs,Wickets,Bowling Average,Bowling SR
Basil Thampi,0,0,0,0,0,3,12,0,0,0
S Nadeem,0,0,0,0,0,3,9,2,45,27
Abhishek Sharma,0,0,0,0,0,2,2,1,21,12
DJ Hooda,0,0,0,0,0,2,2,1,21,12
JM Bairstow,0,0,0,0,0,0,0,0,0,0
RK Bhui,0,0,0,0,0,0,0,0,0,0
MJ Guptill,0,0,0,0,0,0,0,0,0,0
MK Pandey,0,0,0,0,0,0,0,0,0,0
WP Saha,0,0,0,0,0,0,0,0,0,0
DA Warner,0,0,0,0,0,0,0,0,0,0
KS Williamson,0,0,0,0,0,0,0,0,0,0
